old_path,new_path,category,copy_as_is,reason,risk
ACT\\Доки и записи\\Сводка_лотов_верная 19-05.xlsx,data/gold/19-05/Сводка_лотов_верная 19-05.xlsx,data_gold,true,"Human-validated gold labels for PAY/DEL/SUBJECT; primary benchmark dataset.",low
ACT\\eval_min_context_vs_gold_19_05.py,scripts/eval/eval_min_context_vs_gold_19_05.py,script_batch,true,"Lightweight regression harness against gold; actively used for accept/reject decisions.",medium
ACT\\lot_chunker_md_v1.py,legacy/old_project/ACT/lot_chunker_md_v1.py,legacy_old_parser,true,"Chunker used during exploration; useful as reference but not production-ready.",medium
ACT\\tender_min_context_extractor_v1.py,legacy/old_project/ACT/tender_min_context_extractor_v1.py,legacy_old_parser,true,"Current experimental extractor (monolithic, evolving heuristics); keep as legacy reference.",medium
ACT\\tender_lot_parser_v7.py,legacy/old_project/ACT/tender_lot_parser_v7.py,legacy_old_parser,true,"Legacy end-to-end parser; large/complex and not cleaned for new lab; keep for reference only.",high
ACT\\lot_builder_from_chunks_v1.py,legacy/old_project/ACT/lot_builder_from_chunks_v1.py,legacy_old_parser,true,"Legacy lot-builder logic; likely superseded by new pipeline, but may contain useful heuristics.",medium
ACT\\lot_chunker_v1.py,legacy/old_project/ACT/lot_chunker_v1.py,legacy_old_parser,true,"Older chunker variant; keep as legacy for diffing ideas.",medium
ACT\\chunks_jsonl_to_xlsx.py,legacy/old_project/ACT/chunks_jsonl_to_xlsx.py,script_candidate,true,"Utility to convert JSONL chunks to XLSX for review; handy but not core pipeline.",low
ACT\\compare_with_gold_19_05.py,legacy/old_project/ACT/compare_with_gold_19_05.py,legacy_old_report,true,"One-off analysis script used earlier; keep as legacy evidence.",low
ACT\\compare_built_vs_gold_19_05.py,legacy/old_project/ACT/compare_built_vs_gold_19_05.py,legacy_old_report,true,"One-off comparison tooling; keep as legacy.",low
ACT\\inspect_tables_19_05.py,legacy/old_project/ACT/inspect_tables_19_05.py,legacy_old_report,true,"Ad-hoc inspection helper; not core.",low
ACT\\list_mismatched_lots.py,legacy/old_project/ACT/list_mismatched_lots.py,legacy_old_report,true,"Ad-hoc helper to enumerate mismatches; legacy only.",low
ACT\\debug_rank_lot_builder.py,legacy/old_project/ACT/debug_rank_lot_builder.py,legacy_old_report,true,"Debug helper; legacy only.",low
ACT\\show_built_row.py,legacy/old_project/ACT/show_built_row.py,legacy_old_report,true,"Debug helper; legacy only.",low
ACT\\show_diff_row.py,legacy/old_project/ACT/show_diff_row.py,legacy_old_report,true,"Debug helper; legacy only.",low
ACT\\print_xlsx_summary.py,legacy/old_project/ACT/print_xlsx_summary.py,legacy_old_report,true,"Tiny helper script; legacy only.",low
ACT\\CLAUDE_HANDOFF_PROMPT.md,legacy/old_project/ACT/prompts/CLAUDE_HANDOFF_PROMPT.md,legacy_old_prompt,true,"Handoff prompt capturing goals/constraints/failure patterns; keep for historical context.",low
ACT\\CONTEXT_DUMP_FOR_NEXT_MODEL.md,legacy/old_project/ACT/reports/CONTEXT_DUMP_FOR_NEXT_MODEL.md,legacy_old_report,true,"Context snapshot; historical reference.",low
ACT\\КОНТЕКСТНЫЙ_ДАMП_ДЛЯ_СЛЕДУЮЩЕЙ_МОДЕЛИ.md,legacy/old_project/ACT/reports/КОНТЕКСТНЫЙ_ДАMП_ДЛЯ_СЛЕДУЮЩЕЙ_МОДЕЛИ.md,legacy_old_report,true,"Duplicate/variant of context dump; keep as legacy.",low
ACT\\PROGRESS.md,legacy/old_project/ACT/reports/PROGRESS.md,legacy_old_report,true,"Progress log with metrics and decisions; useful audit trail.",low
ACT\\LOGS.md,legacy/old_project/ACT/reports/LOGS.md,legacy_old_report,true,"Run log (commands/artifacts/attempts); useful audit trail.",low
ACT\\ИНСТРУКЦИЯ_ЗАПУСКА.txt,legacy/old_project/ACT/docs/ИНСТРУКЦИЯ_ЗАПУСКА.txt,config_dependency,true,"Run instructions and implied dependencies; keep as reference until new lab docs exist.",medium
ACT\\run_goz_parser.bat,legacy/old_project/ACT/batch/run_goz_parser.bat,script_batch,true,"Windows batch wrapper for legacy runs; keep as legacy reference.",low
ACT\\run_min_context_extractor.bat,legacy/old_project/ACT/batch/run_min_context_extractor.bat,script_batch,true,"Windows wrapper; legacy reference.",low
ACT\\run_parsed_folders.bat,legacy/old_project/ACT/batch/run_parsed_folders.bat,script_batch,true,"Windows wrapper; legacy reference.",low
ACT\\run_chunker_menu.bat,legacy/old_project/ACT/batch/run_chunker_menu.bat,script_batch,true,"Windows wrapper/menu; legacy reference.",low
ACT\\BATCH_13-05_00.md,legacy/old_project/ACT/reports/BATCH_13-05_00.md,legacy_old_report,true,"Generated batch report; keep only as legacy artifact.",low
ACT\\BATCH_13-05_00_TABLE.md,legacy/old_project/ACT/reports/BATCH_13-05_00_TABLE.md,legacy_old_report,true,"Generated table artifact; legacy.",low
ACT\\BATCH_13-05_01.md,legacy/old_project/ACT/reports/BATCH_13-05_01.md,legacy_old_report,true,"Generated batch report; legacy.",low
ACT\\BATCH_13-05_01_TABLE.md,legacy/old_project/ACT/reports/BATCH_13-05_01_TABLE.md,legacy_old_report,true,"Generated table artifact; legacy.",low
ACT\\BATCH_13-05_02.md,legacy/old_project/ACT/reports/BATCH_13-05_02.md,legacy_old_report,true,"Generated batch report; legacy.",low
ACT\\BATCH_13-05_02_TABLE.md,legacy/old_project/ACT/reports/BATCH_13-05_02_TABLE.md,legacy_old_report,true,"Generated table artifact; legacy.",low
ACT\\EVAL_13-05_00.md,legacy/old_project/ACT/reports/EVAL_13-05_00.md,legacy_old_report,true,"Generated eval artifact; legacy.",low
ACT\\EVAL_13-05_01.md,legacy/old_project/ACT/reports/EVAL_13-05_01.md,legacy_old_report,true,"Generated eval artifact; legacy.",low
ACT\\EVAL_13-05_02.md,legacy/old_project/ACT/reports/EVAL_13-05_02.md,legacy_old_report,true,"Generated eval artifact; legacy.",low
ACT\\_gemini_table_dump.json,legacy/old_project/ACT/reports/_gemini_table_dump.json,legacy_old_report,true,"Intermediate Gemini output used during analysis; legacy.",low
ACT\\примеры\\tender_min_context_extractor_v1.py,legacy/old_project/ACT/примеры/tender_min_context_extractor_v1.py,legacy_old_parser,true,"Earlier 'examples' baseline extractor; keep as legacy reference for diffs.",medium
ACT\\примеры\\tender_lot_parser_v7.py,legacy/old_project/ACT/примеры/tender_lot_parser_v7.py,legacy_old_parser,true,"Legacy parser variant in examples; legacy reference.",high
ACT\\примеры\\lot_chunker_md_v1.py,legacy/old_project/ACT/примеры/lot_chunker_md_v1.py,legacy_old_parser,true,"Duplicate chunker copy in examples; legacy reference.",low
ACT\\примеры\\run_chunker_menu.bat,legacy/old_project/ACT/примеры/run_chunker_menu.bat,script_batch,true,"Legacy batch wrapper copy; legacy.",low
ACT\\примеры\\BATCH_start0_take48.md,legacy/old_project/ACT/примеры/BATCH_start0_take48.md,legacy_old_report,true,"Generated batch artifact referenced in analysis; legacy.",low
ACT\\примеры\\gemini done table.txt,legacy/old_project/ACT/примеры/gemini done table.txt,legacy_old_report,true,"Truncated Gemini table output; legacy evidence only.",low
ACT\\примеры\\opinion deep seek.md,legacy/old_project/ACT/примеры/opinion deep seek.md,legacy_old_report,true,"DeepSeek qualitative chunk suitability review; legacy evidence.",low
ACT\\примеры\\анализ чанков результат.md,legacy/old_project/ACT/примеры/анализ чанков результат.md,legacy_old_report,true,"Analysis write-up for chunk results; legacy evidence.",low
ACT\\примеры\\первый итог изменения subject.md,legacy/old_project/ACT/примеры/первый итог изменения subject.md,legacy_old_report,true,"Subject extraction notes + desired 'doc+page' link idea; legacy requirements capture.",low
ACT\\tries\\README.md,legacy/old_project/ACT/tries/README.md,legacy_old_report,true,"Process docs for hypothesis tracking; carry over as legacy reference.",low
ACT\\tries\\results.jsonl,legacy/old_project/ACT/tries/results.jsonl,legacy_old_report,true,"Append-only run outcomes for variants; keep as legacy audit trail.",medium
ACT\\tries\\base.py,legacy/old_project/ACT/tries/base.py,legacy_old_parser,true,"Baseline snapshot used in variant matrix; legacy reference.",medium
ACT\\tries\\h02__del_date_priority.py,legacy/old_project/ACT/tries/h02__del_date_priority.py,legacy_old_parser,true,"Variant hypothesis file; preserve for later batch evaluation.",medium
ACT\\tries\\h03__del_relax_supply_gate.py,legacy/old_project/ACT/tries/h03__del_relax_supply_gate.py,legacy_old_parser,true,"Variant hypothesis file; preserve for later batch evaluation.",medium
ACT\\tries\\h04__del_deadline_clause_boost.py,legacy/old_project/ACT/tries/h04__del_deadline_clause_boost.py,legacy_old_parser,true,"Variant hypothesis file; preserve for later batch evaluation.",medium
ACT\\tries\\h05__del_always_scan_docx_raw.py,legacy/old_project/ACT/tries/h05__del_always_scan_docx_raw.py,legacy_old_parser,true,"Variant hypothesis file; preserve for later batch evaluation.",medium
ACT\\tries\\h06__del_force_fixed_date_from_raw.py,legacy/old_project/ACT/tries/h06__del_force_fixed_date_from_raw.py,legacy_old_parser,true,"Variant hypothesis file; preserve for later batch evaluation.",medium
ACT\\tries\\h07__del_accept_ne_pozdnee_date.py,legacy/old_project/ACT/tries/h07__del_accept_ne_pozdnee_date.py,legacy_old_parser,true,"Variant hypothesis file; preserve for later batch evaluation.",medium
ACT\\tries\\h08__del_raw_fixed_date_override.py,legacy/old_project/ACT/tries/h08__del_raw_fixed_date_override.py,legacy_old_parser,true,"Variant hypothesis file; preserve for later batch evaluation.",medium
ACT\\tries\\h09__del_raw_fixed_date_plus_gate.py,legacy/old_project/ACT/tries/h09__del_raw_fixed_date_plus_gate.py,legacy_old_parser,true,"Variant hypothesis file; preserve for later batch evaluation; contains successful DEL fixed-date override.",medium
ACT\\tries\\h10__pay_drop_no_responsibility.py,legacy/old_project/ACT/tries/h10__pay_drop_no_responsibility.py,legacy_old_parser,true,"Variant hypothesis file; preserve for later batch evaluation (failed on metiz lot but may help elsewhere).",medium
ACT\\tries\\run_matrix_onlylot.py,scripts/batch/run_matrix_onlylot.py,script_batch,true,"Matrix runner for one-lot variant evaluation; actively useful for systematic iteration.",low
ACT\\Доки и записи\\clean_signature.py,legacy/old_project/ACT/Доки и записи/clean_signature.py,script_text_extraction,true,"Aux text-cleaning utility used in subject experiments; keep as legacy utility.",medium
ACT\\Доки и записи\\clean_stamp.py,legacy/old_project/ACT/Доки и записи/clean_stamp.py,script_text_extraction,true,"Aux text-cleaning utility used in subject experiments; keep as legacy utility.",medium
ACT\\Доки и записи\\промт для анализа чанков тендеров.md,legacy/old_project/ACT/prompts/промт для анализа чанков тендеров.md,legacy_old_prompt,true,"Prompt used for chunk analysis; legacy reference.",low
ACT\\Доки и записи\\ответ Gemini по 19-05.md,legacy/old_project/ACT/reports/ответ Gemini по 19-05.md,legacy_old_report,true,"Model output; legacy evidence only.",low
ACT\\Доки и записи\\ответ Deep Seek по 19-05.txt,legacy/old_project/ACT/reports/ответ Deep Seek по 19-05.txt,legacy_old_report,true,"Model output; legacy evidence only.",low
ACT\\Доки и записи\\Deep Seek - Codex advice.md,legacy/old_project/ACT/reports/Deep Seek - Codex advice.md,legacy_old_report,true,"Advice notes; legacy evidence.",low
ACT\\Доки и записи\\совет Deep Seek.md,legacy/old_project/ACT/reports/совет Deep Seek.md,legacy_old_report,true,"Advice notes; legacy evidence.",low
