Целевая URL,Title целевой,H1 целевой,Текущих Content Inlinks,Текущих Card Inlinks,URL донора,Title донора,H1 донора,Cosine Similarity,Приоритет донора,Уже есть слабая ссылка,Текущие позиции ссылки
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,0,0,https://longwang.ru/novosti-is-kitaya/,Актуальные новости из Китая - Long Wang,Актуальные новости из Китая,0.979688,1,yes,"Footer, Navigation"
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,0,0,https://longwang.ru/novosti-is-kitaya/kitajskie-akczii-v-rossii/,Китайские акции в России: рост 10% за день и перспективы 2026,Китайские акции в России: рекордный рост и новые возможности для бизнеса,0.961277,2,yes,"Breadcrumbs, Footer, Navigation"
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,0,0,https://longwang.ru/novosti-is-kitaya/itogi-rasprodazhi-11-11/,"Топ товаров на распродаже 11.11 в Китае 2024–2026: цифры, тренды и выводы для бизнеса",Итоги распродаж 11.11 2024–2026 В Китае: что покупают китайцы и как это пригодится бизнесу в РФ,0.925883,3,yes,"Breadcrumbs, Footer, Navigation"
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,0,0,https://longwang.ru/useful-articles/biznes-s-kitaem-s-nulya-chto-nuzhno-znat-nachinayushhemu-predprinimatelyu/,Бизнес с Китаем с нуля 2026: что реально нужно знать новичку,Бизнес с Китаем с нуля: что нужно знать начинающему предпринимателю в 2026 году,0.910332,4,yes,"Breadcrumbs, Footer, Navigation"
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,0,0,https://longwang.ru/useful-articles/purchase-of-construction-equipment/,"Как приобретать строительное оборудование в Китае: найти, проверить, доставить",Как организовать закупку строительного оборудования в Китае в 2026: пошаговый гайд,0.892894,5,yes,"Breadcrumbs, Footer, Navigation"
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,0,0,https://longwang.ru/useful-articles/kupit-elektroniku-nesmotrya-na-sankczii/,"Как купить электронику в Китае в 2026: новые правила, маркировка, условия",Как купить электронику в Китае в 2026: новые правила и пути решения,0.888658,6,yes,"Breadcrumbs, Footer, Navigation"
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,0,0,https://longwang.ru/international/,Внешняя экономика Китая - Long Wang,Внешняя экономика Китая,0.88826,7,yes,"Footer, Navigation"
https://longwang.ru/posledniye-novosti-iz-kitaya/,Последние новости из Китая - Long Wang,новости из китая,0,0,https://longwang.ru/international/tovarooborot-rossii-i-kitaya-stavit-rekordy/,Товарооборот России и Китая: как рекорды 2025–2026 меняют правила импорта,Рекорды товарооборота России и Китая: что это значит для бизнеса,0.887356,8,yes,"Breadcrumbs, Footer, Navigation"
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,Поставки Autonics напрямую от дистрибьютера,Поставки оригинальной продукции Autonics,1,1,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,Авиадоставка из Китая – Long Wang,Авиа доставка из Китая,0.8859,1,no,
https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,Поставка продукции бренда Omron – Long Wang,Поставка продукции Omron,1,1,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,Авиадоставка из Китая – Long Wang,Авиа доставка из Китая,0.883044,1,no,
